savol,a,b,c,d,javob
O?zbekiston Respublikasi Prezidenti necha yil muddatga saylanadi?,4 yil,5 yi,6 yil,7 yil,b
Fuqarolik kodeksiga ko?a shartnoma qachon kuchga kiradi?,Imzolangan paytdan,Notarial tasdiqlanganidan so?g,Qonunga muvofiq ro?xatdan o?kazilgach,Tomonlar kelishuviga ko?a,a
Davlat tilidan tashqari qaysi tillar rasmiy ishlatiladi?,Rus tili,Tojik tili,Qoraqalpoq tili,Ingliz tili,a
Jinoyat protsessida ayblovchi kim?,Sud ,Advokat,Jinoyatchi,Prokuror,d
Konstitutsiyaga ko?a davlat budjetini kim tasdiqlaydi?,Prezident,Vazirlar Mahkamasi,Oliy Majlis,Senat,c
O?zbekiston Respublikasi Konstitutsiyaviy sudi nimani ko?ib chiqadi?,Jinoyat ishlarini,Konstitutsiyaga muvofiqlikn,Ma?uriy ishlarni,Sud qarorlarini ijro etadi,b
Huquqbuzarlik uchun ma?uriy javobgarlikka tortishning eng kam yoshi nechida boshlanadi?,14 yosh,16 yosh,15 yosh,18 yosh,b
Fuqarolik protsessida da?ogarning vazifasi nima?,Ishni ko?ib chiqish,Da?o kiritish,Sud qarorini ijro qilish,Jinoyatni ochish,b
O?zbekiston Respublikasida sud qarorlaridan shikoyat qilish muddati qancha?,7 kun,10 kun,20 kun,30 kun,d
Byudjet mablag?arini nazorat qiluvchi davlat organi qaysi?,Markaziy bank,Davlat soliq qo?itasi,Hisob palatasi,Oliy Majlis,c
Qaysi vaziyatda himoya qilishning zarurligi tan olinadi?,Faol jinoyatchi hujum qilganda,Qo?qitish bo?ganda,Shaxsiy dushmanlik bo?ganda,Jamoat joyida gaplashganda,a
O?zbekiston Respublikasi sud tizimining eng yuqori pog?nasi nima?,Sudya Kengashi,Oliy Majlis,Oliy Sud,Prokuratura,c
Qaysi holatda nikoh yaroqsiz deb topiladi?,Rozilik bilan tuzilgan bo?sa,Sudga ro?xatdan o?gan bo?sa,Biri voyaga yetmagan bo?sa,Faqat to? o?kazilgan bo?sa,c
Jinoyat ishini qo?g?tish asosini nima tashkil etadi?,Sud qarori,Prokurorning buyrug?,Jinoyat alomatlari,Sud qarorini ijro etish,c
Huquqiy ongning asosiy elementi nima?, Majburiyat , Huquqiy bilim ,Huquqiy javobgarlik,Huquqiy hujjat,b
"Davlat rahbarining asosiy vazifasi nima?
",Byudjet tasdiqlash,Hukumatni shakllantirish,Sud qarorlarini chiqarish ,Jinoyat ishlarini ko?ib chiqish,b
O?zbekiston Respublikasi Konstitutsiyasi nechta bo?imdan iborat? , 5 bo?im,6 bo?im,7 bo?im,8 bo?im,c
Xalqaro huquqning asosiy prinsipi nima?, Kuch ishlatish huquqi, Davlat mustaqilligi va tengligi , Qonuniylik,Ma?uriy tartib,b
Davlat boshqaruvi subyekti nima?,Fuqaro,Nodavlat tashkilot,Davlat organi,Sud,c
Advokat himoya qiluvchi sifatida kimni himoya qiladi?,Sudyan,Ayblanuvchini,Prokurorni, Guvohni,b
