savol,a,b,c,d,javob
Poytaxti O'zbekiston?,Toshkent,Samarqand,Buxoro,Namangan,Toshkent
2 + 2 nechchi?,2,3,4,5,4
HTML nima?,Programlash tili,Browser,CSS,Markup tili,Markup tili
Python asoschisi kim?,Linus Torvalds,Bill Gates,Guido van Rossum,Mark Zuckerberg,Guido van Rossum
Yerning tabiiy yo�ldoshi?,Quyosh,Yulduz,Oyning,Oy,Oy
asdasdasdasdqwe,asdasdq,asd,qdas,asdw,asdasdq
Poytaxti O'zbekiston?,Toshkent,Samarqand,Buxoro,Namangan,Toshkent
2 + 3 nechchi?,3,4,5,6,5
HTML nima?,Programlash tili,Browser,CSS,Markup tili,Markup tili
Python asoschisi kim?,Linus Torvalds,Bill Gates,Guido van Rossum,Mark Zuckerberg,Guido van Rossum
Yerning tabiiy yo�ldoshi?,Quyosh,Yulduz,Oyning,Oy,Oy
asdasdasdasdqwe,asdasdq,asd,qdas,asdw,asdasdq
Poytaxti O'zbekiston?,Toshkent,Samarqand,Buxoro,Namangan,Toshkent
2 + 4 nechchi?,4,5,6,7,6
HTML nima?,Programlash tili,Browser,CSS,Markup tili,Markup tili
Python asoschisi kim?,Linus Torvalds,Bill Gates,Guido van Rossum,Mark Zuckerberg,Guido van Rossum
Yerning tabiiy yo�ldoshi?,Quyosh,Yulduz,Oyning,Oy,Oy
asdasdasdasdqwe,asdasdq,asd,qdas,asdw,asdasdq
Poytaxti O'zbekiston?,Toshkent,Samarqand,Buxoro,Namangan,Toshkent
2 + 5 nechchi?,5,6,7,8,7
HTML nima?,Programlash tili,Browser,CSS,Markup tili,Markup tili
Python asoschisi kim?,Linus Torvalds,Bill Gates,Guido van Rossum,Mark Zuckerberg,Guido van Rossum
Yerning tabiiy yo�ldoshi?,Quyosh,Yulduz,Oyning,Oy,Oy
asdasdasdasdqwe,asdasdq,asd,qdas,asdw,asdasdq
Poytaxti O'zbekiston?,Toshkent,Samarqand,Buxoro,Namangan,Toshkent
2 + 6 nechchi?,6,7,8,9,8
HTML nima?,Programlash tili,Browser,CSS,Markup tili,Markup tili
Python asoschisi kim?,Linus Torvalds,Bill Gates,Guido van Rossum,Mark Zuckerberg,Guido van Rossum
Yerning tabiiy yo�ldoshi?,Quyosh,Yulduz,Oyning,Oy,Oy
asdasdasdasdqwe,asdasdq,asd,qdas,asdw,asdasdq
Poytaxti O'zbekiston?,Toshkent,Samarqand,Buxoro,Namangan,Toshkent
2 + 7 nechchi?,7,8,9,10,9
HTML nima?,Programlash tili,Browser,CSS,Markup tili,Markup tili
Python asoschisi kim?,Linus Torvalds,Bill Gates,Guido van Rossum,Mark Zuckerberg,Guido van Rossum
Yerning tabiiy yo�ldoshi?,Quyosh,Yulduz,Oyning,Oy,Oy
